Data,preco,Mes,ano
26/10/2023,88,45,10,2023
25/10/2023,90,14,10,2023
24/10/2023,88,10,2023
23/10/2023,91,88,10,2023
20/10/2023,93,72,10,2023
19/10/2023,93,12,10,2023
18/10/2023,91,99,10,2023
17/10/2023,92,52,10,2023
16/10/2023,90,99,10,2023
13/10/2023,94,33,10,2023
12/10/2023,88,4,10,2023
11/10/2023,87,58,10,2023
10/10/2023,90,7,10,2023
09/10/2023,91,37,10,2023
06/10/2023,87,86,10,2023
05/10/2023,88,28,10,2023
04/10/2023,89,83,10,2023
03/10/2023,94,46,10,2023
02/10/2023,91,21,10,2023
29/09/2023,95,86,9,2023
28/09/2023,96,55,9,2023
27/09/2023,97,1,9,2023
26/09/2023,94,46,9,2023
25/09/2023,94,01,9,2023
22/09/2023,93,99,9,2023
21/09/2023,93,7,9,2023
20/09/2023,94,56,9,2023
19/09/2023,96,11,9,2023
18/09/2023,95,95,9,2023
15/09/2023,95,55,9,2023
14/09/2023,95,2,9,2023
13/09/2023,93,04,9,2023
12/09/2023,93,58,9,2023
11/09/2023,91,97,9,2023
08/09/2023,91,85,9,2023
07/09/2023,91,16,9,2023
06/09/2023,91,79,9,2023
05/09/2023,91,25,9,2023
04/09/2023,90,42,9,2023
31/08/2023,87,29,8,2023
30/08/2023,86,62,8,2023
29/08/2023,86,37,8,2023
25/08/2023,85,42,8,2023
24/08/2023,84,07,8,2023
23/08/2023,83,94,8,2023
22/08/2023,84,7,8,2023
21/08/2023,85,44,8,2023
18/08/2023,85,92,8,2023
17/08/2023,85,24,8,2023
16/08/2023,84,49,8,2023
15/08/2023,86,28,8,2023
14/08/2023,87,4,8,2023
11/08/2023,87,93,8,2023
10/08/2023,87,44,8,2023
09/08/2023,89,31,8,2023
08/08/2023,88,8,2023
07/08/2023,86,47,8,2023
04/08/2023,87,38,8,2023
03/08/2023,86,19,8,2023
02/08/2023,84,01,8,2023
01/08/2023,85,34,8,2023
31/07/2023,85,22,7,2023
28/07/2023,84,49,7,2023
27/07/2023,84,28,7,2023
26/07/2023,82,98,7,2023
25/07/2023,83,46,7,2023
24/07/2023,82,53,7,2023
21/07/2023,81,06,7,2023
20/07/2023,79,62,7,2023
19/07/2023,79,38,7,2023
18/07/2023,79,54,7,2023
17/07/2023,77,8,7,2023
15/07/2023,77,8,7,2023
14/07/2023,79,9,7,2023
13/07/2023,81,31,7,2023
12/07/2023,80,35,7,2023
11/07/2023,79,54,7,2023
10/07/2023,77,83,7,2023
08/07/2023,77,83,7,2023
07/07/2023,78,77,7,2023
06/07/2023,76,72,7,2023
05/07/2023,76,74,7,2023
04/07/2023,76,23,7,2023
03/07/2023,74,52,7,2023
30/06/2023,74,51,6,2023
29/06/2023,73,86,6,2023
28/06/2023,73,64,6,2023
27/06/2023,71,88,6,2023
26/06/2023,73,86,6,2023
23/06/2023,73,56,6,2023
22/06/2023,73,93,6,2023
21/06/2023,76,92,6,2023
20/06/2023,75,79,6,2023
19/06/2023,76,09,6,2023
16/06/2023,76,76,6,2023
15/06/2023,75,75,6,2023
14/06/2023,73,39,6,2023
13/06/2023,74,24,6,2023
12/06/2023,71,8,6,2023
09/06/2023,74,74,6,2023
08/06/2023,75,88,6,2023
07/06/2023,76,85,6,2023
06/06/2023,76,22,6,2023
05/06/2023,76,61,6,2023
02/06/2023,76,6,2023
01/06/2023,74,18,6,2023
31/05/2023,71,98,5,2023
30/05/2023,73,38,5,2023
26/05/2023,76,33,5,2023
25/05/2023,75,66,5,2023
24/05/2023,77,99,5,2023
23/05/2023,76,66,5,2023
22/05/2023,75,77,5,2023
19/05/2023,75,42,5,2023
18/05/2023,75,75,5,2023
17/05/2023,76,98,5,2023
16/05/2023,75,15,5,2023
15/05/2023,75,46,5,2023
12/05/2023,74,54,5,2023
11/05/2023,75,32,5,2023
10/05/2023,76,7,5,2023
09/05/2023,77,76,5,2023
05/05/2023,75,85,5,2023
04/05/2023,73,5,2023
03/05/2023,72,91,5,2023
02/05/2023,76,71,5,2023
28/04/2023,81,32,4,2023
27/04/2023,80,11,4,2023
26/04/2023,79,19,4,2023
25/04/2023,82,13,4,2023
24/04/2023,84,23,4,2023
21/04/2023,83,36,4,2023
20/04/2023,83,29,4,2023
19/04/2023,85,34,4,2023
18/04/2023,85,48,4,2023
17/04/2023,85,63,4,2023
14/04/2023,87,31,4,2023
13/04/2023,86,51,4,2023
12/04/2023,88,31,4,2023
11/04/2023,87,32,4,2023
10/04/2023,86,56,4,2023
06/04/2023,86,56,4,2023
05/04/2023,85,89,4,2023
04/04/2023,85,7,4,2023
03/04/2023,85,81,4,2023
31/03/2023,79,19,3,2023
30/03/2023,78,45,3,2023
29/03/2023,77,51,3,2023
28/03/2023,78,07,3,2023
27/03/2023,76,8,3,2023
24/03/2023,73,63,3,2023
23/03/2023,74,31,3,2023
22/03/2023,76,08,3,2023
21/03/2023,74,78,3,2023
20/03/2023,72,42,3,2023
17/03/2023,71,03,3,2023
16/03/2023,73,12,3,2023
15/03/2023,74,3,3,2023
14/03/2023,76,77,3,2023
13/03/2023,79,67,3,2023
10/03/2023,82,3,3,2023
09/03/2023,81,3,2023
08/03/2023,82,1,3,2023
07/03/2023,83,03,3,2023
06/03/2023,85,86,3,2023
03/03/2023,85,74,3,2023
02/03/2023,84,15,3,2023
01/03/2023,83,68,3,2023
28/02/2023,83,21,2,2023
27/02/2023,81,24,2,2023
24/02/2023,82,31,2,2023
23/02/2023,82,08,2,2023
22/02/2023,79,55,2,2023
21/02/2023,82,14,2,2023
20/02/2023,82,79,2,2023
17/02/2023,81,97,2,2023
16/02/2023,83,84,2,2023
15/02/2023,84,11,2,2023
14/02/2023,84,96,2,2023
13/02/2023,85,98,2,2023
10/02/2023,85,46,2,2023
09/02/2023,83,46,2,2023
08/02/2023,84,17,2,2023
07/02/2023,82,92,2,2023
06/02/2023,80,48,2,2023
03/02/2023,78,85,2,2023
02/02/2023,80,57,2,2023
01/02/2023,81,61,2,2023
31/01/2023,83,42,1,2023
30/01/2023,84,9,1,2023
27/01/2023,85,36,1,2023
26/01/2023,86,29,1,2023
25/01/2023,85,08,1,2023
24/01/2023,85,25,1,2023
23/01/2023,87,96,1,2023
20/01/2023,86,96,1,2023
19/01/2023,85,08,1,2023
18/01/2023,83,78,1,2023
17/01/2023,84,38,1,2023
16/01/2023,82,65,1,2023
13/01/2023,83,43,1,2023
12/01/2023,82,59,1,2023
11/01/2023,81,11,1,2023
10/01/2023,78,4,1,2023
09/01/2023,77,5,1,2023
06/01/2023,76,41,1,2023
05/01/2023,76,73,1,2023
04/01/2023,75,31,1,2023
03/01/2023,80,36,1,2023
02/01/2023,82,82,1,2023
30/12/2022,82,82,12,2022
29/12/2022,80,96,12,2022
28/12/2022,81,7,12,2022
27/12/2022,82,45,12,2022
23/12/2022,82,45,12,2022
22/12/2022,79,58,12,2022
21/12/2022,80,25,12,2022
20/12/2022,79,45,12,2022
19/12/2022,81,66,12,2022
16/12/2022,80,2,12,2022
15/12/2022,82,34,12,2022
14/12/2022,83,33,12,2022
13/12/2022,80,14,12,2022
12/12/2022,78,12,2022
09/12/2022,76,37,12,2022
08/12/2022,76,02,12,2022
07/12/2022,77,11,12,2022
06/12/2022,79,92,12,2022
05/12/2022,83,36,12,2022
02/12/2022,86,54,12,2022
01/12/2022,86,28,12,2022
30/11/2022,85,61,11,2022
29/11/2022,83,22,11,2022
28/11/2022,83,5,11,2022
25/11/2022,83,4,11,2022
24/11/2022,85,59,11,2022
23/11/2022,85,9,11,2022
22/11/2022,88,65,11,2022
21/11/2022,88,44,11,2022
18/11/2022,88,93,11,2022
17/11/2022,91,11,2022
16/11/2022,92,61,11,2022
15/11/2022,94,3,11,2022
14/11/2022,93,59,11,2022
11/11/2022,96,37,11,2022
10/11/2022,94,25,11,2022
09/11/2022,93,05,11,2022
08/11/2022,96,85,11,2022
07/11/2022,99,87,11,2022
04/11/2022,99,53,11,2022
03/11/2022,95,29,11,2022
02/11/2022,96,07,11,2022
01/11/2022,95,12,11,2022
31/10/2022,93,3,10,2022
28/10/2022,94,64,10,2022
27/10/2022,94,17,10,2022
26/10/2022,92,93,10,2022
25/10/2022,91,76,10,2022
24/10/2022,91,57,10,2022
21/10/2022,91,82,10,2022
20/10/2022,91,52,10,2022
19/10/2022,91,34,10,2022
18/10/2022,89,46,10,2022
17/10/2022,91,04,10,2022
14/10/2022,92,22,10,2022
13/10/2022,95,16,10,2022
12/10/2022,93,44,10,2022
11/10/2022,95,17,10,2022
10/10/2022,97,13,10,2022
07/10/2022,98,88,10,2022
06/10/2022,95,65,10,2022
05/10/2022,94,35,10,2022
04/10/2022,93,74,10,2022
03/10/2022,90,68,10,2022
30/09/2022,88,9,9,2022
29/09/2022,89,41,9,2022
28/09/2022,89,55,9,2022
27/09/2022,85,97,9,2022
26/09/2022,82,55,9,2022
23/09/2022,84,29,9,2022
22/09/2022,90,4,9,2022
21/09/2022,89,86,9,2022
20/09/2022,89,62,9,2022
19/09/2022,89,43,9,2022
16/09/2022,89,43,9,2022
15/09/2022,89,28,9,2022
14/09/2022,92,83,9,2022
13/09/2022,92,04,9,2022
12/09/2022,93,45,9,2022
09/09/2022,91,68,9,2022
08/09/2022,87,99,9,2022
07/09/2022,86,83,9,2022
06/09/2022,91,43,9,2022
05/09/2022,94,22,9,2022
02/09/2022,93,09,9,2022
01/09/2022,92,24,9,2022
31/08/2022,96,55,8,2022
30/08/2022,99,34,8,2022
26/08/2022,101,13,8,2022
25/08/2022,98,81,8,2022
24/08/2022,99,87,8,2022
23/08/2022,99,49,8,2022
22/08/2022,95,06,8,2022
19/08/2022,96,45,8,2022
18/08/2022,96,35,8,2022
17/08/2022,97,22,8,2022
16/08/2022,95,36,8,2022
15/08/2022,98,25,8,2022
12/08/2022,103,7,8,2022
11/08/2022,107,19,8,2022
10/08/2022,105,06,8,2022
09/08/2022,103,81,8,2022
08/08/2022,103,46,8,2022
05/08/2022,100,31,8,2022
04/08/2022,97,99,8,2022
03/08/2022,101,82,8,2022
02/08/2022,106,51,8,2022
01/08/2022,106,09,8,2022
29/07/2022,111,51,7,2022
28/07/2022,109,68,7,2022
27/07/2022,109,64,7,2022
26/07/2022,107,32,7,2022
25/07/2022,108,23,7,2022
22/07/2022,106,77,7,2022
21/07/2022,112,81,7,2022
20/07/2022,115,86,7,2022
19/07/2022,114,96,7,2022
18/07/2022,117,27,7,2022
15/07/2022,112,26,7,2022
14/07/2022,107,74,7,2022
13/07/2022,107,17,7,2022
12/07/2022,106,98,7,2022
11/07/2022,114,85,7,2022
08/07/2022,113,95,7,2022
07/07/2022,113,4,7,2022
06/07/2022,108,54,7,2022
05/07/2022,110,49,7,2022
04/07/2022,121,8,7,2022
01/07/2022,119,21,7,2022
30/06/2022,119,78,6,2022
29/06/2022,120,8,6,2022
28/06/2022,122,21,6,2022
27/06/2022,119,69,6,2022
24/06/2022,117,36,6,2022
23/06/2022,114,5,6,2022
22/06/2022,115,54,6,2022
21/06/2022,118,51,6,2022
20/06/2022,118,25,6,2022
17/06/2022,119,22,6,2022
16/06/2022,125,78,6,2022
15/06/2022,124,96,6,2022
14/06/2022,127,02,6,2022
13/06/2022,128,44,6,2022
10/06/2022,127,44,6,2022
09/06/2022,128,47,6,2022
08/06/2022,129,2,6,2022
07/06/2022,126,89,6,2022
06/06/2022,124,99,6,2022
03/06/2022,125,68,6,2022
01/06/2022,122,2,6,2022
31/05/2022,125,53,5,2022
30/05/2022,123,01,5,2022
27/05/2022,121,19,5,2022
26/05/2022,119,81,5,2022
25/05/2022,116,41,5,2022
24/05/2022,115,77,5,2022
23/05/2022,115,13,5,2022
20/05/2022,113,63,5,2022
19/05/2022,113,22,5,2022
18/05/2022,110,04,5,2022
17/05/2022,112,89,5,2022
16/05/2022,114,86,5,2022
13/05/2022,112,12,5,2022
12/05/2022,108,06,5,2022
11/05/2022,107,7,5,2022
10/05/2022,102,61,5,2022
09/05/2022,106,67,5,2022
06/05/2022,113,86,5,2022
05/05/2022,112,11,5,2022
04/05/2022,110,53,5,2022
03/05/2022,104,94,5,2022
02/05/2022,108,36,5,2022
29/04/2022,108,36,4,2022
28/04/2022,105,78,4,2022
27/04/2022,103,3,4,2022
26/04/2022,102,89,4,2022
25/04/2022,99,27,4,2022
22/04/2022,105,15,4,2022
21/04/2022,107,2,4,2022
20/04/2022,105,05,4,2022
19/04/2022,105,49,4,2022
18/04/2022,110,83,4,2022
14/04/2022,110,83,4,2022
13/04/2022,108,49,4,2022
12/04/2022,104,42,4,2022
11/04/2022,97,92,4,2022
08/04/2022,101,26,4,2022
07/04/2022,99,83,4,2022
06/04/2022,100,81,4,2022
05/04/2022,106,6,4,2022
04/04/2022,108,15,4,2022
01/04/2022,106,13,4,2022
31/03/2022,107,29,3,2022
30/03/2022,115,59,3,2022
29/03/2022,112,79,3,2022
28/03/2022,114,5,3,2022
25/03/2022,122,67,3,2022
24/03/2022,123,98,3,2022
23/03/2022,127,52,3,2022
22/03/2022,121,53,3,2022
21/03/2022,122,29,3,2022
18/03/2022,114,32,3,2022
17/03/2022,113,5,3,2022
16/03/2022,104,61,3,2022
15/03/2022,105,14,3,2022
14/03/2022,110,39,3,2022
11/03/2022,118,11,3,2022
10/03/2022,114,54,3,2022
09/03/2022,116,58,3,2022
08/03/2022,133,18,3,2022
07/03/2022,129,02,3,2022
04/03/2022,123,86,3,2022
03/03/2022,115,36,3,2022
02/03/2022,118,94,3,2022
01/03/2022,110,93,3,2022
28/02/2022,103,08,2,2022
25/02/2022,98,56,2,2022
24/02/2022,101,29,2,2022
23/02/2022,99,29,2,2022
22/02/2022,98,73,2,2022
21/02/2022,98,95,2,2022
18/02/2022,96,18,2,2022
17/02/2022,95,28,2,2022
16/02/2022,97,44,2,2022
15/02/2022,98,43,2,2022
14/02/2022,101,66,2,2022
11/02/2022,97,5,2,2022
10/02/2022,96,37,2,2022
09/02/2022,94,95,2,2022
08/02/2022,96,07,2,2022
07/02/2022,97,28,2,2022
04/02/2022,96,86,2,2022
03/02/2022,92,99,2,2022
02/02/2022,91,43,2,2022
01/02/2022,90,24,2,2022
31/01/2022,92,35,1,2022
28/01/2022,91,47,1,2022
27/01/2022,90,7,1,2022
26/01/2022,91,22,1,2022
25/01/2022,89,49,1,2022
24/01/2022,87,74,1,2022
21/01/2022,89,75,1,2022
20/01/2022,89,75,1,2022
19/01/2022,89,64,1,2022
18/01/2022,88,83,1,2022
17/01/2022,87,82,1,2022
14/01/2022,87,17,1,2022
13/01/2022,85,8,1,2022
12/01/2022,85,83,1,2022
11/01/2022,84,98,1,2022
10/01/2022,81,56,1,2022
07/01/2022,82,28,1,2022
06/01/2022,81,99,1,2022
05/01/2022,80,6,1,2022
04/01/2022,79,39,1,2022
03/01/2022,78,25,1,2022
31/12/2021,77,24,12,2021
30/12/2021,78,61,12,2021
29/12/2021,78,63,12,2021
27/12/2021,75,24,12,2021
24/12/2021,75,24,12,2021
23/12/2021,76,26,12,2021
22/12/2021,74,69,12,2021
21/12/2021,72,85,12,2021
20/12/2021,70,51,12,2021
17/12/2021,72,97,12,2021
16/12/2021,74,64,12,2021
15/12/2021,73,71,12,2021
14/12/2021,73,37,12,2021
13/12/2021,74,12,12,2021
10/12/2021,74,98,12,2021
09/12/2021,74,1,12,2021
08/12/2021,75,94,12,2021
07/12/2021,75,54,12,2021
06/12/2021,73,38,12,2021
03/12/2021,70,71,12,2021
02/12/2021,70,56,12,2021
01/12/2021,69,53,12,2021
30/11/2021,70,86,11,2021
29/11/2021,73,34,11,2021
26/11/2021,72,37,11,2021
25/11/2021,82,05,11,2021
24/11/2021,82,37,11,2021
23/11/2021,83,43,11,2021
22/11/2021,80,97,11,2021
19/11/2021,80,24,11,2021
18/11/2021,82,45,11,2021
17/11/2021,80,67,11,2021
16/11/2021,82,85,11,2021
15/11/2021,81,94,11,2021
12/11/2021,82,9,11,2021
11/11/2021,83,4,11,2021
10/11/2021,82,91,11,2021
09/11/2021,84,52,11,2021
08/11/2021,83,22,11,2021
05/11/2021,82,43,11,2021
04/11/2021,80,15,11,2021
03/11/2021,81,1,11,2021
02/11/2021,84,42,11,2021
01/11/2021,84,51,11,2021
29/10/2021,83,1,10,2021
28/10/2021,83,4,10,2021
27/10/2021,84,12,10,2021
26/10/2021,85,11,10,2021
25/10/2021,84,85,10,2021
22/10/2021,85,43,10,2021
21/10/2021,84,58,10,2021
20/10/2021,85,76,10,2021
19/10/2021,85,02,10,2021
18/10/2021,84,13,10,2021
15/10/2021,84,67,10,2021
14/10/2021,83,86,10,2021
13/10/2021,83,53,10,2021
12/10/2021,83,53,10,2021
11/10/2021,83,75,10,2021
08/10/2021,82,17,10,2021
07/10/2021,82,34,10,2021
06/10/2021,81,39,10,2021
05/10/2021,82,72,10,2021
04/10/2021,81,44,10,2021
01/10/2021,79,4,10,2021
30/09/2021,77,81,9,2021
29/09/2021,77,86,9,2021
28/09/2021,78,3,9,2021
27/09/2021,78,85,9,2021
24/09/2021,77,42,9,2021
23/09/2021,76,44,9,2021
22/09/2021,75,5,9,2021
21/09/2021,73,65,9,2021
20/09/2021,73,59,9,2021
17/09/2021,74,64,9,2021
16/09/2021,75,14,9,2021
15/09/2021,74,84,9,2021
14/09/2021,73,05,9,2021
13/09/2021,72,97,9,2021
10/09/2021,72,44,9,2021
09/09/2021,71,32,9,2021
08/09/2021,72,36,9,2021
07/09/2021,71,52,9,2021
06/09/2021,72,43,9,2021
03/09/2021,73,07,9,2021
02/09/2021,73,56,9,2021
01/09/2021,71,99,9,2021
31/08/2021,73,45,8,2021
27/08/2021,72,26,8,2021
26/08/2021,70,42,8,2021
25/08/2021,72,12,8,2021
24/08/2021,71,21,8,2021
23/08/2021,69,07,8,2021
20/08/2021,65,51,8,2021
19/08/2021,66,8,8,2021
18/08/2021,68,61,8,2021
17/08/2021,69,4,8,2021
16/08/2021,70,07,8,2021
13/08/2021,70,9,8,2021
12/08/2021,71,79,8,2021
11/08/2021,71,99,8,2021
10/08/2021,71,14,8,2021
09/08/2021,69,65,8,2021
06/08/2021,71,02,8,2021
05/08/2021,72,14,8,2021
04/08/2021,70,99,8,2021
03/08/2021,73,24,8,2021
02/08/2021,73,91,8,2021
30/07/2021,77,72,7,2021
29/07/2021,76,3,7,2021
28/07/2021,75,09,7,2021
27/07/2021,74,87,7,2021
26/07/2021,74,79,7,2021
23/07/2021,74,86,7,2021
22/07/2021,74,25,7,2021
21/07/2021,72,54,7,2021
20/07/2021,70,03,7,2021
19/07/2021,69,33,7,2021
16/07/2021,74,46,7,2021
15/07/2021,74,53,7,2021
14/07/2021,75,74,7,2021
13/07/2021,77,5,7,2021
12/07/2021,76,77,7,2021
09/07/2021,77,14,7,2021
08/07/2021,75,07,7,2021
07/07/2021,74,31,7,2021
06/07/2021,75,81,7,2021
05/07/2021,78,34,7,2021
02/07/2021,77,51,7,2021
01/07/2021,76,69,7,2021
30/06/2021,76,94,6,2021
29/06/2021,75,38,6,2021
28/06/2021,74,78,6,2021
25/06/2021,76,45,6,2021
24/06/2021,75,95,6,2021
23/06/2021,75,22,6,2021
22/06/2021,74,92,6,2021
21/06/2021,74,49,6,2021
18/06/2021,73,1,6,2021
17/06/2021,72,92,6,2021
16/06/2021,73,88,6,2021
15/06/2021,73,38,6,2021
14/06/2021,72,27,6,2021
11/06/2021,72,05,6,2021
10/06/2021,71,65,6,2021
09/06/2021,71,31,6,2021
08/06/2021,71,39,6,2021
07/06/2021,70,89,6,2021
04/06/2021,71,3,6,2021
03/06/2021,70,71,6,2021
02/06/2021,70,6,6,2021
01/06/2021,70,03,6,2021
28/05/2021,69,36,5,2021
27/05/2021,69,43,5,2021
26/05/2021,68,93,5,2021
25/05/2021,68,8,5,2021
24/05/2021,68,59,5,2021
21/05/2021,66,72,5,2021
20/05/2021,65,18,5,2021
19/05/2021,66,88,5,2021
18/05/2021,69,01,5,2021
17/05/2021,69,62,5,2021
14/05/2021,69,24,5,2021
13/05/2021,67,36,5,2021
12/05/2021,69,62,5,2021
11/05/2021,68,83,5,2021
10/05/2021,68,61,5,2021
07/05/2021,68,73,5,2021
06/05/2021,68,62,5,2021
05/05/2021,69,71,5,2021
30/04/2021,67,73,4,2021
29/04/2021,68,26,4,2021
28/04/2021,67,08,4,2021
27/04/2021,66,25,4,2021
26/04/2021,65,5,4,2021
23/04/2021,65,75,4,2021
22/04/2021,65,07,4,2021
21/04/2021,64,02,4,2021
20/04/2021,65,34,4,2021
19/04/2021,66,54,4,2021
16/04/2021,65,98,4,2021
15/04/2021,66,13,4,2021
14/04/2021,66,11,4,2021
13/04/2021,62,83,4,2021
12/04/2021,62,38,4,2021
09/04/2021,61,89,4,2021
08/04/2021,62,09,4,2021
07/04/2021,61,86,4,2021
06/04/2021,61,47,4,2021
05/04/2021,63,85,4,2021
01/04/2021,63,85,4,2021
31/03/2021,63,52,3,2021
30/03/2021,63,28,3,2021
29/03/2021,64,06,3,2021
26/03/2021,63,77,3,2021
25/03/2021,61,21,3,2021
24/03/2021,63,7,3,2021
23/03/2021,59,96,3,2021
22/03/2021,63,89,3,2021
19/03/2021,64,3,2021
18/03/2021,62,11,3,2021
17/03/2021,67,73,3,2021
16/03/2021,67,95,3,2021
15/03/2021,68,78,3,2021
12/03/2021,68,87,3,2021
11/03/2021,69,34,3,2021
10/03/2021,67,53,3,2021
09/03/2021,67,03,3,2021
08/03/2021,68,3,2021
05/03/2021,69,95,3,2021
04/03/2021,67,32,3,2021
03/03/2021,64,7,3,2021
02/03/2021,63,17,3,2021
01/03/2021,64,56,3,2021
26/02/2021,65,86,2,2021
25/02/2021,66,69,2,2021
24/02/2021,66,85,2,2021
23/02/2021,65,16,2,2021
22/02/2021,64,73,2,2021
19/02/2021,62,84,2,2021
18/02/2021,64,09,2,2021
17/02/2021,65,02,2,2021
16/02/2021,63,96,2,2021
15/02/2021,63,58,2,2021
12/02/2021,62,47,2,2021
11/02/2021,61,09,2,2021
10/02/2021,61,17,2,2021
09/02/2021,60,74,2,2021
08/02/2021,60,17,2,2021
05/02/2021,59,48,2,2021
04/02/2021,58,98,2,2021
03/02/2021,58,61,2,2021
02/02/2021,57,62,2,2021
01/02/2021,56,42,2,2021
29/01/2021,55,25,1,2021
28/01/2021,54,87,1,2021
27/01/2021,55,07,1,2021
26/01/2021,55,26,1,2021
25/01/2021,55,44,1,2021
22/01/2021,55,22,1,2021
21/01/2021,55,68,1,2021
20/01/2021,55,66,1,2021
19/01/2021,55,38,1,2021
18/01/2021,54,21,1,2021
15/01/2021,54,8,1,2021
14/01/2021,55,76,1,2021
13/01/2021,55,52,1,2021
12/01/2021,55,98,1,2021
11/01/2021,54,84,1,2021
08/01/2021,55,51,1,2021
07/01/2021,53,7,1,2021
06/01/2021,53,8,1,2021
05/01/2021,53,16,1,2021
04/01/2021,50,37,1,2021
31/12/2020,51,22,12,2020
30/12/2020,50,74,12,2020
29/12/2020,50,44,12,2020
28/12/2020,50,88,12,2020
24/12/2020,50,88,12,2020
23/12/2020,51,05,12,2020
22/12/2020,49,88,12,2020
21/12/2020,50,61,12,2020
18/12/2020,52,17,12,2020
14/12/2020,50,27,12,2020
11/12/2020,50,01,12,2020
10/12/2020,50,33,12,2020
09/12/2020,48,81,12,2020
08/12/2020,48,84,12,2020
07/12/2020,48,63,12,2020
04/12/2020,49,1,12,2020
03/12/2020,48,37,12,2020
02/12/2020,47,8,12,2020
01/12/2020,47,03,12,2020
30/11/2020,46,84,11,2020
27/11/2020,46,88,11,2020
